Player,Squad,Age,Nationality,Season
Max Aarons,Bournemouth,25-111,eng ENG,2023-2024
Joshua Acheampong,Chelsea,18-355,eng ENG,2023-2024
Tyler Adams,Bournemouth,26-070,us USA,2023-2024
Tosin Adarabioyo,Chelsea,27-213,eng ENG,2023-2024
Simon Adingra,Brighton,23-114,ci CIV,2023-2024
Emmanuel Agbadou,Wolves,27-312,ci CIV,2023-2024
Asher Agbinone,Crystal Palace,19-209,eng ENG,2023-2024
Ola Aina,Nott'ham Forest,28-199,ng NGA,2023-2024
Rayan Aït-Nouri,Wolves,23-323,dz ALG,2023-2024
Kristoffer Ajer,Brentford,27-008,no NOR,2023-2024
Manuel Akanji,Manchester City,29-280,ch SUI,2023-2024
Nathan Aké,Manchester City,30-066,nl NED,2023-2024
Carlos Alcaraz,Southampton,22-146,ar ARG,2023-2024
Carlos Alcaraz,Everton,22-146,ar ARG,2023-2024
Trent Alexander-Arnold,Liverpool,26-200,eng ENG,2023-2024
Alisson,Liverpool,32-205,br BRA,2023-2024
Miguel Almirón,Newcastle Utd,31-074,py PAR,2023-2024
Edson Álvarez,West Ham,27-183,mx MEX,2023-2024
Will Alves,Leicester City,20-081,eng ENG,2023-2024
Harry Amass,Manchester Utd,18-040,eng ENG,2023-2024
Samuel Amo-Ameyaw,Southampton,18-281,eng ENG,2023-2024
Mathis Amougou,Chelsea,19-097,fr FRA,2023-2024
Joachim Andersen,Crystal Palace,28-329,dk DEN,2023-2024
Joachim Andersen,Fulham,28-329,dk DEN,2023-2024
Elliot Anderson,Nott'ham Forest,22-170,eng ENG,2023-2024
André,Wolves,23-283,br BRA,2023-2024
Michail Antonio,West Ham,35-028,jm JAM,2023-2024
Antony,Manchester Utd,25-060,br BRA,2023-2024
Julian Araujo,Bournemouth,23-255,mx MEX,2023-2024
Cameron Archer,Southampton,23-278,eng ENG,2023-2024
Alphonse Areola,West Ham,32-057,fr FRA,2023-2024
Joe Aribo,Southampton,28-278,ng NGA,2023-2024
Adam Armstrong,Southampton,28-074,eng ENG,2023-2024
Harrison Armstrong,Everton,18-096,eng ENG,2023-2024
Kepa Arrizabalaga,Bournemouth,30-204,es ESP,2023-2024
Marco Asensio,Aston Villa,29-094,es ESP,2023-2024
Brandon Austin,Tottenham,26-107,eng ENG,2023-2024
Taiwo Awoniyi,Nott'ham Forest,27-256,ng NGA,2023-2024
Yasin Ayari,Brighton,21-201,se SWE,2023-2024
Jordan Ayew,Crystal Palace,33-226,gh GHA,2023-2024
Jordan Ayew,Leicester City,33-226,gh GHA,2023-2024
Benoît Badiashile,Chelsea,24-030,fr FRA,2023-2024
Leon Bailey,Aston Villa,27-259,jm JAM,2023-2024
Carlos Baleba,Brighton,21-112,cm CMR,2023-2024
Ross Barkley,Aston Villa,31-141,eng ENG,2023-2024
Harvey Barnes,Newcastle Utd,27-137,eng ENG,2023-2024
Calvin Bassey,Fulham,25-115,ng NGA,2023-2024
Altay Bayındır,Manchester Utd,27-011,tr TUR,2023-2024
Jan Bednarek,Southampton,29-013,pl POL,2023-2024
Armel Bella Kotchap,Southampton,23-135,de GER,2023-2024
Jean-Ricner Bellegarde,Wolves,26-302,fr FRA,2023-2024
Rodrigo Bentancur,Tottenham,27-304,uy URU,2023-2024
Daniel Bentley,Wolves,31-286,eng ENG,2023-2024
Sander Berge,Fulham,27-070,no NOR,2023-2024
Lucas Bergvall,Tottenham,19-082,se SWE,2023-2024
Victor Bernth Kristiansen,Leicester City,22-130,dk DEN,2023-2024
Beto,Everton,27-084,gw GNB,2023-2024
Philip Billing,Bournemouth,28-318,dk DEN,2023-2024
Yves Bissouma,Tottenham,28-238,ml MLI,2023-2024
Oscar Bobb,Manchester City,21-287,no NOR,2023-2024
Lamare Bogarde,Aston Villa,21-110,nl NED,2023-2024
Willy Boly,Nott'ham Forest,34-081,ci CIV,2023-2024
Sven Botman,Newcastle Utd,25-103,nl NED,2023-2024
Jarrod Bowen,West Ham,28-126,eng ENG,2023-2024
Conor Bradley,Liverpool,21-290,nir NIR,2023-2024
Jarrad Branthwaite,Everton,22-302,eng ENG,2023-2024
James Bree,Southampton,27-196,eng ENG,2023-2024
Ben Brereton,Southampton,26-007,cl CHI,2023-2024
Nathan Broadhead,Ipswich Town,27-020,wls WAL,2023-2024
Armando Broja,Everton,23-227,al ALB,2023-2024
David Brooks,Bournemouth,27-291,wls WAL,2023-2024
Emi Buendía,Aston Villa,28-121,ar ARG,2023-2024
Santiago Bueno,Wolves,26-167,uy URU,2023-2024
Facundo Buonanotte,Leicester City,20-123,ar ARG,2023-2024
Cameron Burgess,Ipswich Town,29-186,au AUS,2023-2024
Dan Burn,Newcastle Utd,32-351,eng ENG,2023-2024
Wes Burns,Ipswich Town,30-153,wls WAL,2023-2024
Nathan Butler-Oyedeji,Arsenal,22-111,eng ENG,2023-2024
Moisés Caicedo,Chelsea,23-174,ec ECU,2023-2024
Tom Cairney,Fulham,34-095,sct SCO,2023-2024
Jens Cajuste,Ipswich Town,25-258,se SWE,2023-2024
Riccardo Calafiori,Arsenal,22-341,it ITA,2023-2024
Dominic Calvert-Lewin,Everton,28-040,eng ENG,2023-2024
Diego Carlos,Aston Villa,32-041,br BRA,2023-2024
Fabio Carvalho,Brentford,22-238,pt POR,2023-2024
Casemiro,Manchester Utd,33-061,br BRA,2023-2024
